v1,v2
spam,Your ATM card is blocked. Click this link to verify
spam,Your KYC is expired update immediately
spam,You won 50000 rupees claim now
spam,Your UPI is suspended verify now
spam,Your bank account will be frozen today
spam,OTP required to unlock your account
spam,Click to receive your refund
spam,You are selected for free gift
spam,Pay 10 rupees to activate service
ham,Hey are you free today
ham,Letâ€™s meet at 6 pm
ham,Call me when you reach
ham,Your parcel has arrived
ham,Did you complete the assignment
ham,We have a meeting tomorrow
ham,Send me the file
